model_family,feature_set,scope,n,mae,rmse,r2,directional_accuracy,prev_rmse,prev_r2,rmse_redux_vs_prev_pct,r2_gain_vs_prev
elasticnet,M2_sector,Real Estate,432,0.2217652105411237,0.41880550398663335,-0.037169831715042845,0.7731481481481481,0.41263445300289625,-0.0068298621354601075,-1.4955248983278158,-0.030339969579582737
elasticnet,M3_company,Real Estate,432,0.22809291264754297,0.41889626793951906,-0.03761943342106511,0.7870370370370371,0.41880550398663335,-0.037169831715042845,-0.021672101255050678,-0.00044960170602226235
elasticnet,M4_idio_vol,Real Estate,432,0.22545463843899646,0.418535079181769,-0.03583085267029862,0.7847222222222222,0.41889626793951906,-0.03761943342106511,0.0862239139839247,0.0017885807507664886
elasticnet,M5_text,Real Estate,432,0.22617944453112213,0.41959641505363543,-0.041090905646744114,0.7893518518518519,0.418535079181769,-0.03583085267029862,-0.2535834926767208,-0.005260052976445495
elasticnet,M0_baseline,Technology,469,0.22100304100782428,0.3917472438161794,-0.028106648770794607,0.7825159914712153,,,,
elasticnet,M1_macro,Technology,469,0.22928538624566724,0.39114696113346853,-0.02495828314801174,0.7547974413646056,0.3917472438161794,-0.028106648770794607,0.15323213939255373,0.003148365622782867
elasticnet,M2_sector,Technology,469,0.2359224342661237,0.39754716650566424,-0.05877479323360979,0.7484008528784648,0.39114696113346853,-0.02495828314801174,-1.6362661628890454,-0.03381651008559805
elasticnet,M3_company,Technology,469,0.22704938097676575,0.3911289324191416,-0.02486380073571648,0.7654584221748401,0.39754716650566424,-0.05877479323360979,1.6144585164415197,0.03391099249789331
elasticnet,M4_idio_vol,Technology,469,0.22448472437578038,0.38677695169378096,-0.002183944972333318,0.7718550106609808,0.3911289324191416,-0.02486380073571648,1.112671644729408,0.02267985576338316
elasticnet,M5_text,Technology,469,0.22468003555574104,0.3868440818202967,-0.0025318590509555428,0.7739872068230277,0.38677695169378096,-0.002183944972333318,-0.017356289257100543,-0.00034791407862222457
extra,M0_baseline,ALL,4526,0.19641014350973793,0.3632906354957035,-0.0008368625276879982,0.6853733981440565,,,,
extra,M1_macro,ALL,4526,0.1959766580565596,0.36094746384883886,0.012032005807592228,0.6811754308440123,0.3632906354957035,-0.0008368625276879982,0.6449854243194116,0.012868868335280226
extra,M2_sector,ALL,4526,0.1947959722442123,0.3600624454530571,0.01687092553611569,0.6858152894387981,0.36094746384883886,0.012032005807592228,0.2451931331902619,0.004838919728523461
extra,M3_company,ALL,4526,0.19283989864985526,0.3581065477308772,0.027522840183370922,0.6833848873177198,0.3600624454530571,0.01687092553611569,0.5432106977218512,0.010651914647255234
extra,M4_idio_vol,ALL,4526,0.19221363123360072,0.35793490643679,0.028454837865792726,0.687582854617764,0.3581065477308772,0.027522840183370922,0.04793023059053094,0.0009319976824218035
extra,M5_text,ALL,4526,0.1922014130694256,0.3576489601003071,0.030006510009413456,0.6878038002651348,0.35793490643679,0.028454837865792726,0.07988780399471197,0.0015516721436207304
extra,M0_baseline,Communication Services,460,0.21159796979342296,0.39092510301676764,-0.0021245790503567896,0.75,,,,
extra,M1_macro,Communication Services,460,0.20298632640359365,0.3922241988445515,-0.008796030789395282,0.7391304347826086,0.39092510301676764,-0.0021245790503567896,-0.3323132277151688,-0.006671451739038492
extra,M2_sector,Communication Services,460,0.20186390209850213,0.391683232308545,-0.006015230642769431,0.7391304347826086,0.3922241988445515,-0.008796030789395282,0.13792278436672692,0.0027808001466258503
extra,M3_company,Communication Services,460,0.20037342204595446,0.39079196484478085,-0.0014421039993082196,0.741304347826087,0.391683232308545,-0.006015230642769431,0.22754802612078093,0.004573126643461212
extra,M4_idio_vol,Communication Services,460,0.19852693640227964,0.3901970271576509,0.0016047454044939569,0.7391304347826086,0.39079196484478085,-0.0014421039993082196,0.15223897639917702,0.0030468494038021765
extra,M5_text,Communication Services,460,0.19959796263206905,0.39086908910575746,-0.0018374197196231457,0.7391304347826086,0.3901970271576509,0.0016047454044939569,-0.1722365628980066,-0.0034421651241171025
extra,M0_baseline,Consumer Discretionary,486,0.22055917126960287,0.4094016218157386,0.021978842673813226,0.7530864197530864,,,,
